year,state,category,heat_wave_deaths,source
2018,Andhra Pradesh,State,97,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Andhra Pradesh,State,128,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Andhra Pradesh,State,50,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Andhra Pradesh,State,22,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Andhra Pradesh,State,47,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Arunachal Pradesh,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Arunachal Pradesh,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Arunachal Pradesh,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Arunachal Pradesh,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Arunachal Pradesh,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Assam,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Assam,State,3,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Assam,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Assam,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Assam,State,1,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Bihar,State,64,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Bihar,State,215,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Bihar,State,53,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Bihar,State,57,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Bihar,State,78,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Chhattisgarh,State,1,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Chhattisgarh,State,16,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Chhattisgarh,State,3,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Chhattisgarh,State,2,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Chhattisgarh,State,11,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Goa,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Goa,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Goa,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Goa,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Goa,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Gujarat,State,31,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Gujarat,State,27,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Gujarat,State,12,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Gujarat,State,8,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Gujarat,State,5,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Haryana,State,56,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Haryana,State,46,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Haryana,State,23,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Haryana,State,14,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
