stop_id,name,city,mode,lat,lon,lst,thei,thei_tier
0,Narela Terminal,Delhi,bus,28.851958,77.088107,39.1,59.5,Moderate
1,Police Station Narela,Delhi,bus,28.853311,77.088548,39.1,59.5,Moderate
2,Safiyabad Crossing,Delhi,bus,28.854965,77.089322,40.09,69.5,High
3,Ramdev Chowk / Pitori Johad,Delhi,bus,28.857713,77.092846,40.09,69.5,High
4,Narela A-6 / CPJ College,Delhi,bus,28.857684,77.097117,39.53,63.8,High
5,State Bank Of Allahbad,Delhi,bus,28.854724,77.097933,39.53,63.8,High
6,Sec A-9 Narela,Delhi,bus,28.851769,77.097906,39.06,59.0,Moderate
7,Narela Pocket 13 / A-9,Delhi,bus,28.851771,77.097849,39.06,59.0,Moderate
8,Narela Pocket 13 / A-6,Delhi,bus,28.848993,77.098485,39.06,59.0,Moderate
9,Raja Harish Chandra Hospital,Delhi,bus,28.840804,77.10202,38.98,58.3,Moderate
10,Kasturi Ram School,Delhi,bus,28.837226,77.098578,38.98,58.3,Moderate
11,Munim Ji Ka Bagh,Delhi,bus,28.83657,77.09201,38.95,57.9,Moderate
12,New Anaj Mandi,Delhi,bus,28.838193,77.091456,38.95,57.9,Moderate
13,Kurani More,Delhi,bus,28.840582,77.090589,38.95,57.9,Moderate
14,Prem Nagar Narela,Delhi,bus,28.837755,77.081097,39.06,59.1,Moderate
15,Maharaja Agrassen School,Delhi,bus,28.83657,77.079258,39.06,59.1,Moderate
16,Bharat Mata School,Delhi,bus,28.833186,77.077052,39.03,58.8,Moderate
17,Kaushal Devi Netraheen Ashram,Delhi,bus,28.825219,77.069668,39.12,59.7,Moderate
18,Sannoth Crossing / Ghoga Crossing,Delhi,bus,28.819549,77.06355,39.21,60.6,High
19,Delhi Jal Board Bawana,Delhi,bus,28.815434,77.058213,38.93,57.7,Moderate
20,Jain Bekhunth Mandir,Delhi,bus,28.811811,77.053975,38.88,57.3,Moderate
21,Bawana JJ Colony CRPF Camp,Delhi,bus,28.806738,77.048163,39.02,58.6,Moderate
23,Swaroop Nagar GT Road,Delhi,bus,28.758318,77.148305,39.7,65.5,High
24,Libas Pur GT Road,Delhi,bus,28.75027,77.15075,39.63,64.8,High
25,Sanjay Gandhi Transport Nagar,Delhi,bus,28.7402,77.154,38.44,52.8,Moderate
26,Mukarba Chowk,Delhi,bus,28.735084,77.155874,38.14,49.8,Moderate
27,GTK Depot,Delhi,bus,28.731117,77.158967,38.53,53.7,Moderate
28,Jahangirpuri GT Road (Metro Station),Delhi,bus,28.7257,77.163,37.74,45.7,Moderate
29,Mahindra Park,Delhi,bus,28.721715,77.166162,38.28,51.2,Moderate
30,Sarai Pipal Thala,Delhi,bus,28.7206,77.1671,38.28,51.2,Moderate
