feature,importance,importance_pct
temperature_2m_c,23652197.69510038,80.25
relative_humidity_pct,4289458.996052504,14.55
day_of_year,605424.8472833604,2.05
doy_cos,372724.7725295355,1.26
doy_sin,344574.2101157091,1.17
month,115630.05012275359,0.39
hour,41398.0189879731,0.14
shortwave_radiation_wm2,23822.759541683277,0.08
latitude,5241.521132369037,0.02
day_of_week,4957.53662610054,0.02
wind_speed_10m_ms,4538.028038150782,0.02
elevation_max_m_mean,4319.467235898881,0.01
hour_sin,4195.897716809297,0.01
elevation_min_m_mean,3086.1801823576966,0.01
elevation_mean_m_mean,1605.3709769898605,0.01
hour_cos,633.838903065267,0.0
longitude,216.065310011993,0.0
ndvi_mean_mean,127.57743045350708,0.0
land_cover_fraction_mean,108.52305713671444,0.0
ndvi_min_mean,107.11909212388173,0.0
ndvi_max_mean,52.32221387865866,0.0
lst_std_c_mean,30.9580500125885,0.0
lst_mean_c_mean,27.246535632234554,0.0
lst_max_c_mean,17.809046278511687,0.0
lst_min_c_mean,5.263100028038025,0.0
lst_median_c_mean,4.010290145874023,0.0
ndvi_std_mean,0.00856146250907841,0.0
ndvi_median_mean,0.0,0.0
