feature,mean_abs_shap
temperature_2m_c,3.9673650976604455
relative_humidity_pct,0.918848483157117
day_of_year,0.06870526877482354
doy_cos,0.04062372506173953
doy_sin,0.022781943015721198
month,0.011756769104188878
shortwave_radiation_wm2,0.009186911933625507
hour,0.005342152642629761
elevation_mean_m_mean,0.004807861585278661
day_of_week,0.003961344322280109
longitude,0.003457590647211032
wind_speed_10m_ms,0.002611724316803851
elevation_max_m_mean,0.0019033630809272841
latitude,0.0017533104103386438
hour_sin,0.0012772372182638125
elevation_min_m_mean,0.001079913205314702
ndvi_min_mean,0.001024461551918175
hour_cos,0.0006254249584125376
ndvi_mean_mean,0.00043245043149488027
land_cover_fraction_mean,0.00043053046360341514
lst_median_c_mean,0.00016281329788999234
lst_max_c_mean,8.728583019877349e-05
ndvi_max_mean,8.06080552750168e-05
lst_min_c_mean,5.70151682772017e-05
lst_std_c_mean,5.279985285970847e-05
lst_mean_c_mean,1.3501795699880156e-05
ndvi_std_mean,1.221819646692461e-06
ndvi_median_mean,0.0
